,CF,SF,lat,lon,geo_size
1298,Ontario County,New York,42.807914,-77.28212280763239,0.010189830536999938
1299,Ontonagon County,Michigan,47.023592,-89.4980563558455,0.7419770259030037
1300,Orange County,New York,41.388062500000004,-74.33153374281076,0.00025144440950001807
1301,Orangeburg County,South Carolina,33.442023500000005,-80.80848666059627,0.008033606502500028
1302,Oregon County,Missouri,36.6929005,-91.3992642758815,0.03162000188550032
1303,Orleans County,New York,44.7754225,-72.25726862611864,0.12237673953800055
1304,Orleans Parish,Louisiana,30.0329685,-89.97467248307663,7.609720500002023e-05
1305,Orocovis Municipio,Puerto Rico,18.2206635,-66.43456053692495,0.002066237098500002
1306,Osage County,Kansas,36.579434000000006,-96.44716252359689,0.045060680867500355
1307,Osborne County,Kansas,39.3503975,-98.76825425445882,0.242050503945
1308,Osceola County,Michigan,27.994870499999998,-81.12569551743272,0.036026337665499966
1309,Oscoda County,Michigan,44.681819000000004,-84.12993173426574,0.016794116117000032
1310,Oswego County,New York,43.432939000000005,-76.2279548443062,0.0004967985104999738
1311,Otero County,New Mexico,32.6974235,-105.86451764781543,0.00328530111149985
1312,Otoe County,Nebraska,40.654231,-96.12341594447709,0.06654626965499985
1313,Otsego County,Michigan,42.610958,-74.9899333221864,0.029615084431500054
1314,Ottawa County,Michigan,42.9852855,-86.43749150856165,0.006909179617000052
1315,Otter Tail County,Minnesota,46.410656,-95.71797677433219,0.06911650947300006
1316,Ouachita County,Arkansas,33.5882965,-92.91069528244593,0.0028086648684999952
1317,Ouachita Parish,Louisiana,32.490817,-92.17431220369494,0.0008043220260000297
1318,Ouray County,Colorado,38.112182,-107.72645163504234,0.14434788324899994
1319,Outagamie County,Wisconsin,44.416393,-88.46364252051671,0.00022632366550002378
1320,Overton County,Tennessee,36.3415945,-85.30891352923433,0.012559018803499966
1321,Owen County,Kentucky,39.31909,-86.8697804258729,0.03295290611800007
1322,Owsley County,Kentucky,37.3983215,-83.68489265234778,0.0402195146520002
1323,Owyhee County,Idaho,42.840500500000005,-116.24032344100819,0.015118930466000035
1324,Oxford County,Maine,44.566024,-70.65527248202048,0.007129367248499869
1325,Ozark County,Missouri,36.651683,-92.4424373908912,0.0914069307745003
1326,Ozaukee County,Wisconsin,43.3667315,-87.60397709424132,0.01051926294199999
1327,Pacific County,Washington,46.5171835,-123.74647280241251,0.1894192598260006
1328,Page County,Virginia,40.738119,-95.15680470587509,0.018689212063500243
1329,Palm Beach County,Florida,26.6462735,-80.43361048268147,0.0005084393404999987
1330,Palo Alto County,Iowa,43.082018500000004,-94.67809582722,0.04147399689499988
1331,Palo Pinto County,Texas,32.759356499999996,-98.31872639916845,0.07809623996799973
1332,Pamlico County,North Carolina,35.1561775,-76.6827829177756,0.026709508877000052
1333,Panola County,Texas,32.183383000000006,-94.3114377553819,0.02845612864949993
1334,Park County,Wyoming,44.9967495,-109.83860578693694,0.001171056424000065
1335,Parke County,Indiana,39.7788975,-87.19247664136748,0.051289113448000155
1336,Parker County,Texas,32.779131,-97.80464068578998,0.0008741806374999874
1337,Parmer County,Texas,34.5301685,-102.78432551475107,0.09087507119699985
1338,Pasco County,Florida,28.324785,-82.42542539583101,0.003838677471499864
1339,Pasquotank County,North Carolina,36.284996,-76.28161585814621,0.00025233425450002506
1340,Passaic County,New Jersey,41.011427499999996,-74.3077683755712,8.824751650001084e-05
1341,Patillas Municipio,Puerto Rico,18.009790000000002,-65.99997634313152,0.0048286041369999385
1342,Patrick County,Virginia,36.707305000000005,-80.27232730578513,0.04601402299699983
1343,Paulding County,Ohio,41.1213645,-84.57267652402442,0.024502872359500133
1344,Pawnee County,Kansas,38.175596,-99.24115687635127,0.1869788897759996
1345,Payette County,Idaho,43.9726505,-116.84356480140018,0.003801635302500004
