city,rank,lat,lon
Woodstock,173,34.1026,-84.509
Clinton,174,41.8434,-90.2408
Albertville,175,34.2634,-86.2107
Aurora,176,41.7637,-88.2901
Bloomsburg,177,41.0027,-76.4561
Portsmouth,178,43.058,-70.7826
Corpus Christi,179,27.726,-97.3755
South Bend,180,41.6767,-86.2696
Eugene,181,44.0563,-123.1173
Harrisburg,182,40.2752,-76.8843
Charleston,183,32.8153,-79.9628
Tallahassee,184,30.4551,-84.2526
Kansas City,185,39.1234,-94.7443
Killeen,186,31.0754,-97.7296
Visalia,187,36.3276,-119.3269
Blaine,188,45.1696,-93.2077
Pontiac,189,40.8881,-88.6414
Asheboro,190,35.7158,-79.8129
Lorain,191,41.4409,-82.184
Youngstown,192,41.0993,-80.6463
Greeley,193,40.4151,-104.7706
San Tan Valley,194,33.1879,-111.5472
Lubbock,195,33.5659,-101.8878
Gastonia,196,35.2494,-81.1853
Chester,197,37.3531,-77.4342
Forest Park,198,33.6209,-84.359
Frederick,199,39.4336,-77.4141
Decatur,200,39.8556,-88.9337
Spartanburg,201,34.9437,-81.9257
Texas City,202,29.4128,-94.9658
Marion,203,40.5496,-85.66
Parkersburg,204,39.2624,-81.542
Albany,205,42.6664,-73.7987
Lake Oswego,206,45.413,-122.7003
Cookeville,207,36.1484,-85.5114
Bradenton,208,27.49,-82.5739
Dale City,209,38.6473,-77.3459
Cedar Rapids,210,41.9665,-91.6782
Roseville,211,38.7703,-121.3196
Troy,212,31.8021,-85.9665
Myrtle Beach,213,33.7096,-78.8843
Lexington,214,33.989,-81.2202
Sarasota,215,27.3386,-82.5431
Waukesha,216,43.0087,-88.2464
Fort Collins,217,40.5478,-105.0656
Lansing,218,42.7142,-84.5601
Durham,219,35.9794,-78.9031
Kingsport,220,36.5224,-82.5453
Panama City,221,30.1995,-85.6004
Rome,222,34.2661,-85.1862
Springfield,223,39.771,-89.6538
Chico,224,39.7575,-121.8152
Poughkeepsie,225,41.6949,-73.921
Macon,226,32.8065,-83.6974
Trenton,227,40.2236,-74.7641
Evansville,228,37.9881,-87.5341
Tuckahoe,229,37.5878,-77.5858
Murfreesboro,230,35.8492,-86.4119
Warner Robins,231,32.597,-83.6529
Utica,232,43.0961,-75.226
Wilson,233,35.7312,-77.9284
Warren,234,41.239,-80.8174
Henderson,235,37.8397,-87.5798
Joplin,236,37.0758,-94.5018
Merced,237,37.3057,-120.4778
Boulder,238,40.0249,-105.2523
Economy,239,40.641,-80.184
Columbus,240,32.51,-84.8771
Salinas,241,36.6884,-121.6317
Gillette,242,44.2752,-105.4983
Gainesville,243,29.6804,-82.3458
Layton,244,41.0769,-111.9621
Golden Gate,245,26.1844,-81.7031
The Villages,246,28.9021,-81.9888
Tuscaloosa,247,33.2348,-87.5267
Arlington,248,38.8786,-77.1011
Scranton,249,41.4044,-75.6649
Ogden,250,41.2278,-111.9682
Charleston,251,38.3484,-81.6323
Boise,252,43.6007,-116.2312
Peoria,253,40.752,-89.6153
Kalamazoo,254,42.2749,-85.5882
New City,255,41.1543,-73.9909
Athens,256,33.9508,-83.3689
San Rafael,257,37.9905,-122.5222
Salina,258,38.8137,-97.6143
Laredo,259,27.5629,-99.4875
Champaign,260,40.1144,-88.2735
Kissimmee,261,28.3042,-81.4164
Abilene,262,32.4543,-99.7384
Binghamton,263,42.1014,-75.9093
Santa Cruz,264,36.9789,-122.0346
Lincoln,265,40.1508,-89.3721
Goose Creek,266,32.9925,-80.0054
Niagara Falls,267,43.0921,-79.0147
Florence,268,34.8303,-87.6654
Bel Air South,269,39.5051,-76.3197
Pearland,270,29.5585,-95.3215
Elizabethtown,271,37.703,-85.877
Covington,272,39.0334,-84.5166
Leesburg,273,39.1058,-77.5544
Gainesville,274,34.2903,-83.8301
Asheville,275,35.5704,-82.5536
Palm City,276,27.1736,-80.2861
Weirton,277,40.406,-80.5671
Norwich,278,41.5495,-72.0882
Yakima,279,46.5923,-120.5496
Saginaw,280,43.4199,-83.9501
Hendersonville,281,36.3063,-86.5998
Waco,282,31.5598,-97.1881
Pueblo,283,38.2705,-104.6112
Redding,284,40.5698,-122.365
Topeka,285,39.0346,-95.6955
Valdosta,286,30.8502,-83.2788
Mooresville,287,35.5849,-80.8265
Southaven,288,34.9514,-89.9787
El Paso de Robles,289,35.6394,-120.656
Huntsville,290,30.705,-95.5544
Stevens Point,291,44.5241,-89.5508
Crystal Lake,292,42.2333,-88.3351
Hopkinsville,293,36.8386,-87.4776
Port St. Lucie,294,27.2796,-80.3883
Bellevue,295,41.1535,-95.9357
Pekin,296,40.5679,-89.6262
Tyler,297,32.3184,-95.3062
Franklin,298,41.1101,-74.5886
Benton Harbor,299,42.1159,-86.4488
Wilmington,300,34.21,-77.8866
Covington,301,33.6049,-83.8465
Tell City,302,37.9528,-86.7597
College Station,303,30.5852,-96.296
Barnstable,304,41.6722,-70.3599
Napa,305,38.2976,-122.3011
Amarillo,306,35.1988,-101.8311
Kingston,307,41.9295,-73.9968
Davis,308,38.5552,-121.7365
Brunswick,309,41.2464,-81.8198
St. Joseph,310,39.7599,-94.821
Concord,311,35.3933,-80.6366
Centralia,312,46.7226,-122.9696
Racine,313,42.7274,-87.8135
Withamsville,314,39.0628,-84.2808
Janesville,315,42.6855,-89.0136
Torrington,316,41.8349,-73.1281
Waxahachie,317,32.4032,-96.8444
Salisbury,318,35.6656,-80.4909
Johnstown,319,40.3258,-78.9193
Ardmore,320,34.1944,-97.1253
Moline,321,41.4821,-90.4921
Sioux Falls,322,43.5397,-96.732
Daphne,323,30.6286,-87.8866
Olympia,324,47.0417,-122.8959
Burlington,325,36.0758,-79.4686
Florence,326,34.1781,-79.7877
Midland,327,32.0249,-102.1137
Las Cruces,328,32.3265,-106.7892
Yuma,329,32.5992,-114.5488
Waterloo,330,42.492,-92.3522
Gadsden,331,34.009,-86.0156
Pottsville,332,40.6798,-76.2092
Santa Fe,333,35.6619,-105.9819
Sherman,334,33.6274,-96.6218
Spring Hill,335,28.4797,-82.53
Bremerton,336,47.5436,-122.7122
Owensboro,337,37.7574,-87.1173
Schenectady,338,42.8025,-73.9276
Albany,339,31.5776,-84.1762
Lawton,340,34.6176,-98.4203
Searcy,341,35.2418,-91.7351
Elkhart,342,41.6916,-85.9628
Council Bluffs,343,41.2369,-95.8517
Maryville,344,35.7468,-83.9789
Newark,345,40.0705,-82.4251
Enterprise,346,31.3276,-85.8459
Lebanon,347,40.3412,-76.4227
Greenville,348,35.5956,-77.3768
Fremont,349,41.4396,-96.4879
Wichita Falls,350,33.9072,-98.5291
Somerset,351,40.5083,-74.501
El Dorado Hills,352,38.675,-121.049
Port Charlotte,353,26.9918,-82.114
Hickory,354,35.7425,-81.323
Lumberton,355,34.6312,-79.0186
Lenoir,356,35.9096,-81.5247
Easley,357,34.819,-82.5828
Laurel,358,31.6956,-89.1448
Bangor,359,44.8322,-68.7906
Corning,360,42.147,-77.0561
Kenosha,361,42.5864,-87.8765
Terre Haute,362,39.4654,-87.3763
Hilton Head Island,363,32.1896,-80.7499
Nampa,364,43.5845,-116.5631
Hinesville,365,31.8247,-81.6135
Muskegon,366,43.2281,-86.2563
Crestview,367,30.748,-86.5784
Huntington,368,38.4109,-82.4344
Dublin,369,32.5359,-82.928
Jamestown,370,42.0975,-79.2366
St. Augustine,371,29.8977,-81.31
Shelton,372,47.2186,-123.112
Anderson,373,34.5211,-82.6479
Conway,374,35.0754,-92.4694
Aiken,375,33.531,-81.7268
Saratoga Springs,376,43.0674,-73.7775
Summerville,377,33.0015,-80.1799
Fort Smith,378,35.3493,-94.3695
Dunn,379,35.3113,-78.6129
Smithfield,380,35.5131,-78.3497
Claremore,381,36.3143,-95.6099
Appleton,382,44.2779,-88.3891
Altoona,383,40.5082,-78.4007
Amherst,384,42.3645,-72.5069
Pearl,385,32.273,-90.0918
Eureka,386,40.7942,-124.1568
Troy,387,42.7354,-73.6751
San Juan,388,18.4037,-66.0636
San Marcos,389,29.8736,-97.9381
Cumberland,390,39.6515,-78.7585
Schertz,391,29.5649,-98.2537
Yukon,392,35.5201,-97.7639
